case_id,start_state,solution,moves,nodes,time
0,"[2, 2, [[1, 2, 8], [6, 7, 3], [4, 5, 0]]]",1,16,67043,1.6796731
1,"[2, 2, [[2, 1, 5], [7, 4, 3], [6, 8, 0]]]",1,26,622232,19.7803854
2,"[2, 2, [[6, 3, 8], [4, 5, 1], [7, 2, 0]]]",1,26,631562,20.626927600000002
3,"[0, 0, [[0, 4, 8], [3, 5, 6], [1, 2, 7]]]",1,26,528909,17.564426299999994
4,"[0, 0, [[0, 5, 6], [1, 2, 4], [8, 7, 3]]]",0,0,1520107,57.191086600000006
5,"[2, 2, [[5, 7, 1], [3, 4, 8], [2, 6, 0]]]",0,0,1758559,65.965002
6,"[2, 2, [[4, 8, 6], [2, 3, 5], [7, 1, 0]]]",1,20,351139,10.760091400000022
7,"[1, 2, [[2, 6, 5], [4, 3, 0], [1, 8, 7]]]",0,0,2158023,80.85811709999999
8,"[1, 0, [[2, 3, 1], [0, 6, 5], [7, 4, 8]]]",0,0,2153959,80.51571200000001
9,"[2, 2, [[2, 3, 1], [7, 6, 4], [5, 8, 0]]]",1,24,537148,17.571446200000025
